OutcomeType	Breed	Color	Name	Selected	AnimalType	SexuponOutcome	AgeuponOutcome
Return_to_owner	Black Mouth Cur Mix	Tan/Black	Lola	No	Dog	Spayed Female	4-6 years
Adoption	Dachshund/Beagle	Brown/White	Sugar	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby/White	Orangejello	No	Cat	Intact Male	1-3 years
Euthanasia	Yorkshire Terrier Mix	Brown/Black	Prec Punkin'	No	Dog	Spayed Female	11+ years
Transfer	Domestic Shorthair Mix	Black	Wilma	No	Cat	Intact Female	Under 1 year
Adoption	Dachshund Mix	Tan/White	Bella	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Return_to_owner	Maltese Mix	White	Chiquita	No	Dog	Spayed Female	4-6 years
Transfer	Pointer Mix	Black/White	Hero	No	Dog	Neutered Male	Under 1 year
Transfer	English Foxhound	Buff	Molly	No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Unknown	Under 1 year
Adoption	Chihuahua Shorthair Mix	Red	Bella	No	Dog	Spayed Female	1-3 years
Adoption	Vizsla Mix	Brown	Chili	No	Dog	Neutered Male	Under 1 year
Transfer	Pit Bull Mix	Brown Brindle/White	Hastings	No	Dog	Neutered Male	1-3 years
Adoption	German Shepherd/Great Pyrenees	White		No	Dog	Spayed Female	1-3 years
Return_to_owner	Domestic Shorthair Mix	Black	Tootsie	No	Cat	Intact Female	1-3 years
Return_to_owner	Yorkshire Terrier Mix	Blue/Tan	Snookie	No	Dog	Spayed Female	4-6 years
Transfer	Cardigan Welsh Corgi/Chihuahua Shorthair	Tan	Abby	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Longhair	Brown Tabby	Nym	No	Cat	Spayed Female	Under 1 year
Euthanasia	Domestic Shorthair Mix	Calico		No	Cat	Intact Female	1-3 years
Adoption	Chow Chow/Pit Bull	Black	Zeus	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair	White	Charlie	No	Dog	Neutered Male	1-3 years
Euthanasia	Domestic Shorthair Mix	Blue Tabby		No	Cat	Unknown	Under 1 year
Transfer	Siamese Mix	Seal Point	Taco	No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Intact Male	1-3 years
Euthanasia	Pit Bull Mix	Brown Brindle	Avaddon	No	Dog	Neutered Male	11+ years
Adoption	Dachshund/Beagle	Brown/White		No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Black	Arthur	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Transfer	Labrador Retriever Mix	Black/White		No	Dog	Intact Female	Under 1 year
Adoption	Domestic Medium Hair Mix	Calico		No	Cat	Spayed Female	Under 1 year
Adoption	Plott Hound Mix	Brown Brindle/White	Freeway	No	Dog	Neutered Male	Under 1 year
Adoption	Boxer/Great Dane	Black	Chloe	No	Dog	Spayed Female	1-3 years
Transfer	Lhasa Apso	White/Black	Georgia	No	Dog	Spayed Female	7-10 years
Euthanasia	German Shepherd Mix	Black/Tan	Hero	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Black	Thelma	No	Cat	Spayed Female	Under 1 year
Adoption	Beagle/Treeing Walker Coonhound	White/Brown	Darcy	No	Dog	Spayed Female	7-10 years
Transfer	Border Collie Mix	Black/White	Taz	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White		No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Male	1-3 years
Adoption	Border Terrier Mix	Gray		No	Dog	Neutered Male	1-3 years
Adoption	Chihuahua Shorthair Mix	Tan/White	Poppy	No	Dog	Neutered Male	4-6 years
Transfer	Boxer Mix	Brown Brindle/White	Dexter	No	Dog	Neutered Male	4-6 years
Transfer	Domestic Medium Hair Mix	Blue		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Torbie	Matty	No	Cat	Spayed Female	4-6 years
Return_to_owner	Cairn Terrier Mix	Tan/White	Chubbs	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Lilly	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Black/Tan	Minnie	No	Dog	Spayed Female	1-3 years
Adoption	Dogo Argentino Mix	White	Santiago	No	Dog	Neutered Male	1-3 years
Return_to_owner	Dachshund Mix	Black/Brown	Franklin	No	Dog	Neutered Male	7-10 years
Return_to_owner	Beagle Mix	Tricolor	Myles	No	Dog	Neutered Male	4-6 years
Euthanasia	Chihuahua Shorthair/Dachshund	Yellow Brindle/White	Wiz	No	Dog	Neutered Male	1-3 years
Adoption	Pit Bull Mix	Fawn/White	Abby	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Pit Bull Mix	White/Brown	Boss	No	Dog	Intact Male	Under 1 year
Euthanasia	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	4-6 years
Adoption	Chihuahua Shorthair Mix	Tan	Missy	No	Dog	Spayed Female	1-3 years
Transfer	Chihuahua Shorthair Mix	Black/White	Basil	No	Dog	Intact Male	Under 1 year
Transfer	Domestic Longhair Mix	Calico	Katydid	No	Cat	Intact Female	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Brown	Kiki	No	Dog	Spayed Female	1-3 years
Return_to_owner	Dachshund Mix	Black	Desmo	No	Dog	Neutered Male	4-6 years
Adoption	Miniature Schnauzer/Miniature Poodle	Black	Pablo	No	Dog	Neutered Male	7-10 years
Adoption	Labrador Retriever Mix	Black/White		No	Dog	Spayed Female	Under 1 year
Euthanasia	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	7-10 years
Adoption	Domestic Shorthair Mix	Black	Pandora	No	Cat	Intact Female	Under 1 year
Adoption	Pit Bull	Black	Jackson	No	Dog	Neutered Male	4-6 years
Adoption	Pit Bull Mix	White/Brown	Watson	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Brown/White	Levon	No	Dog	Neutered Male	1-3 years
Return_to_owner	Labrador Retriever Mix	Chocolate/White	Snickerdoodl	No	Dog	Spayed Female	7-10 years
Adoption	Pit Bull Mix	Red/White	Lola	No	Dog	Spayed Female	1-3 years
Return_to_owner	Domestic Shorthair Mix	Calico	Jumbly	No	Cat	Spayed Female	1-3 years
Adoption	Chihuahua Shorthair/Jack Russell Terrier	Black/White	Pearl	No	Dog	Spayed Female	1-3 years
Transfer	Chihuahua Shorthair Mix	Black/Tan	Pebbles	No	Dog	Spayed Female	1-3 years
Return_to_owner	Pit Bull	Brown Brindle	Minnie	No	Dog	Spayed Female	1-3 years
Transfer	Siamese Mix	Flame Point	Merlin	No	Cat	Neutered Male	1-3 years
Return_to_owner	Tibetan Terrier Mix	Brown	Parsley	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Blue/White		No	Cat	Intact Female	1-3 years
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Unknown	Under 1 year
Adoption	Miniature Pinscher/Chihuahua Shorthair	Tricolor	Abby	No	Dog	Spayed Female	Under 1 year
Adoption	Domestic Shorthair Mix	Orange Tabby/White		No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Medium Hair Mix	Cream Tabby		No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Medium Hair Mix	Brown Tabby/White	Ricky	No	Cat	Spayed Female	1-3 years
Adoption	Domestic Medium Hair Mix	Calico	Tom	No	Cat	Spayed Female	Under 1 year
Adoption	Labrador Retriever Mix	Yellow	Amarillo	No	Dog	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Nala	No	Cat	Spayed Female	Under 1 year
Adoption	Dachshund Mix	Tan		No	Dog	Spayed Female	1-3 years
Transfer	Dachshund Mix	Brown/White	Winnie	No	Dog	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black/White	Luna	No	Cat	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Calico		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Tokyo	No	Cat	Neutered Male	1-3 years
Adoption	Blue Lacy Mix	Blue/White	Diamond	No	Dog	Spayed Female	Under 1 year
Transfer	Rat Terrier Mix	Tricolor		No	Dog	Neutered Male	Under 1 year
Return_to_owner	Dachshund Longhair	Brown	Minnie	No	Dog	Spayed Female	1-3 years
Transfer	Pit Bull Mix	Red	Neville	No	Dog	Neutered Male	1-3 years
Adoption	Pit Bull Mix	Brown/White	Conrad	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Longhair	Calico	Shiva	No	Cat	Spayed Female	Under 1 year
Transfer	Dachshund/Chihuahua Shorthair	Red		No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Torbie		No	Cat	Intact Female	Under 1 year
Adoption	Domestic Shorthair Mix	Black Tabby/White	Jupiter	No	Cat	Neutered Male	Under 1 year
Transfer	Chihuahua Shorthair Mix	Brown/White	Nero	No	Dog	Neutered Male	7-10 years
Adoption	Domestic Shorthair Mix	Black/White	Oscar	No	Cat	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Tortie/Calico		No	Cat	Intact Female	Under 1 year
Adoption	Border Collie Mix	Black/White	Dasher	No	Dog	Neutered Male	Under 1 year
Adoption	Labrador Retriever Mix	Black/White	Libby	No	Dog	Intact Female	Under 1 year
Return_to_owner	Maltese	White	Gracie	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Black		No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Blue Tabby/White	Sugar	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Labrador Retriever Mix	White		No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby	Jethro	No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	White/Tan	Keyla	No	Dog	Spayed Female	1-3 years
Adoption	Labrador Retriever/Rottweiler	Black/Brown	Samson	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Tortie	August	No	Cat	Spayed Female	11+ years
Adoption	Dachshund/Manchester Terrier	Tricolor		No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	White/Black	Herb	No	Cat	Neutered Male	Under 1 year
Adoption	Domestic Shorthair Mix	Brown Tabby	Stripey	No	Cat	Intact Female	Under 1 year
Adoption	Plott Hound/Labrador Retriever	Black/Brown Brindle	Sallie	No	Dog	Spayed Female	Under 1 year
Return_to_owner	Chihuahua Shorthair/Rat Terrier	White/Tan	Klo Dog	No	Dog	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Cream Tabby/White		No	Cat	Intact Male	Under 1 year
Return_to_owner	Siberian Husky	White/Gray	Milo	No	Dog	Neutered Male	4-6 years
Transfer	Australian Cattle Dog Mix	Tan/White	Scarlet	No	Dog	Spayed Female	1-3 years
Return_to_owner	Pointer Mix	White/Black	Pebbles	No	Dog	Spayed Female	1-3 years
Return_to_owner	Pit Bull Mix	Brown Brindle/White	Cairo	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Medium Hair Mix	Brown Tabby		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White	Calypso	No	Cat	Intact Female	1-3 years
Adoption	Yorkshire Terrier/Miniature Poodle	Tan/Silver	Luna	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Transfer	German Shepherd Mix	White	Diva	No	Dog	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Brown Tabby/White	Olivia	No	Cat	Spayed Female	Under 1 year
Transfer	Catahoula/Labrador Retriever	White/Tan	Ashley	No	Dog	Spayed Female	4-6 years
Adoption	Miniature Poodle Mix	Black/White		No	Dog	Spayed Female	Under 1 year
Adoption	Jack Russell Terrier/Pit Bull	Red	Jaqueline	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Torbie	Tabitha	No	Cat	Spayed Female	Under 1 year
Adoption	Queensland Heeler/Shetland Sheepdog	Red Tick/Black	Roxie	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	White/Cream Tabby		No	Cat	Neutered Male	1-3 years
Adoption	Catahoula Mix	Blue Merle	Harper	No	Dog	Neutered Male	1-3 years
Adoption	Labrador Retriever Mix	Black/White	Hanley	No	Dog	Neutered Male	1-3 years
Adoption	Labrador Retriever Mix	Yellow	Boomer	No	Dog	Neutered Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Chocolate/Tan	Brownie	No	Dog	Intact Male	4-6 years
Transfer	Domestic Longhair Mix	Black		No	Cat	Unknown	1-3 years
Return_to_owner	American Pit Bull Terrier Mix	Tan/White	Swisha	No	Dog	Neutered Male	1-3 years
Adoption	Dachshund Longhair Mix	Tan/White		No	Dog	Spayed Female	4-6 years
Euthanasia	Domestic Longhair Mix	Orange Tabby/White		No	Cat	Neutered Male	11+ years
Adoption	German Shepherd Mix	Sable	Dutchess	No	Dog	Spayed Female	1-3 years
Adoption	Labrador Retriever Mix	Black/White	Buddy	No	Dog	Neutered Male	4-6 years
Adoption	Domestic Shorthair Mix	Black	Meowser	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Doberman Pinsch Mix	Tricolor	Cassie	No	Dog	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black	Teddy	No	Cat	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black	Isis	No	Cat	Intact Female	11+ years
Transfer	Pointer Mix	Chocolate/White		No	Dog	Intact Female	Under 1 year
Adoption	Dachshund/Jack Russell Terrier	White/Brown	Dali	No	Dog	Neutered Male	Under 1 year
Adoption	Miniature Poodle/Miniature Schnauzer	Black/White		No	Dog	Neutered Male	1-3 years
Adoption	Whippet Mix	Brown Brindle/White	Bella	No	Dog	Spayed Female	1-3 years
Return_to_owner	Australian Shepherd Mix	Brown Merle/White	Dino	No	Dog	Intact Male	1-3 years
Adoption	Labrador Retriever Mix	Tan/White		No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Calico		No	Cat	Intact Female	Under 1 year
Transfer	Pit Bull Mix	Brown Tiger/White	Emma	No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	1-3 years
Transfer	Domestic Shorthair Mix	Brown Tabby	Jackson	No	Cat	Intact Male	Under 1 year
Transfer	Chihuahua Shorthair Mix	White/Brown	Marco	No	Dog	Neutered Male	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Black	Byron	No	Cat	Intact Male	Under 1 year
Transfer	Rat Terrier Mix	White/Black	Oreo	No	Dog	Spayed Female	1-3 years
Adoption	English Pointer Mix	Brown/White	Pia	No	Dog	Spayed Female	Under 1 year
Adoption	Miniature Schnauzer/Yorkshire Terrier	Black/White	Bleu	No	Dog	Spayed Female	1-3 years
Adoption	Cairn Terrier Mix	Buff		No	Dog	Spayed Female	1-3 years
Euthanasia	Labrador Retriever/Pit Bull	Black	Midnight	No	Dog	Neutered Male	7-10 years
Return_to_owner	Domestic Shorthair Mix	White/Black	Julia	No	Cat	Spayed Female	1-3 years
Transfer	Great Dane	Black/White		No	Dog	Spayed Female	4-6 years
Return_to_owner	Chihuahua Shorthair Mix	Black/White	Rello	No	Dog	Intact Male	1-3 years
Return_to_owner	Chesa Bay Retr	Brown	Bode	No	Dog	Neutered Male	1-3 years
Return_to_owner	German Shepherd	Brown/Black	Jake	No	Dog	Neutered Male	7-10 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Female	1-3 years
Adoption	Domestic Shorthair Mix	Black/White	Rebecca	No	Cat	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Orange Tabby/White	Buddy	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Tan/Black	Anita	No	Dog	Spayed Female	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby/White		No	Cat	Neutered Male	Under 1 year
Return_to_owner	Plott Hound Mix	Brown Brindle	Daisy	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby/White		No	Cat	Intact Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	Brown/Black	Kiki	No	Dog	Spayed Female	1-3 years
Adoption	Siamese Mix	Flame Point	Jerrid	No	Cat	Neutered Male	7-10 years
Adoption	Domestic Shorthair Mix	Brown Tabby/White	Vidalia	No	Cat	Spayed Female	Under 1 year
Adoption	Chow Chow Mix	Red	Simba	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	1-3 years
Adoption	English Pointer	Liver/White		No	Dog	Spayed Female	7-10 years
Euthanasia	Domestic Shorthair Mix	White/Blue Tabby		No	Cat	Intact Male	Under 1 year
Return_to_owner	Pit Bull Mix	Brown/White	June	No	Dog	Spayed Female	1-3 years
Return_to_owner	Boxer Mix	Black/White	Earlene	No	Dog	Intact Female	Under 1 year
Transfer	Basset Hound/Labrador Retriever	Black/White	Vader	No	Dog	Neutered Male	4-6 years
Return_to_owner	Labrador Retriever Mix	Buff	Brownie	No	Dog	Neutered Male	1-3 years
Transfer	Airedale Terrier Mix	Tricolor	Little Missy	No	Dog	Spayed Female	7-10 years
Adoption	Labrador Retriever/Chow Chow	Brown	Buddy	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby/White		No	Cat	Neutered Male	Under 1 year
Adoption	Beagle/German Shepherd	Black/Brown	Kodiak	No	Dog	Neutered Male	Under 1 year
Adoption	Manx Mix	White/Black	Bosco	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Blue		No	Cat	Intact Female	1-3 years
Transfer	Chihuahua Shorthair/Rat Terrier	Tan/White	Daisy	No	Dog	Spayed Female	4-6 years
Adoption	Pit Bull Mix	Black/White	Priscilla	No	Dog	Spayed Female	1-3 years
Adoption	Flat Coat Retriever Mix	Black/White	Stella	No	Dog	Spayed Female	1-3 years
Transfer	Cocker Spaniel	Buff	Dharma	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Taco	No	Cat	Neutered Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	Tan	Pebbles	No	Dog	Spayed Female	7-10 years
Adoption	Domestic Longhair Mix	Brown Tabby/White	Arwen	No	Cat	Spayed Female	1-3 years
Return_to_owner	Rat Terrier Mix	White/Black	Rainey	No	Dog	Spayed Female	7-10 years
Adoption	Border Terrier/Chihuahua Shorthair	Tan/Black		No	Dog	Neutered Male	1-3 years
Transfer	Pit Bull Mix	Brown Brindle/White	Tank	No	Dog	Neutered Male	4-6 years
Return_to_owner	Chihuahua Shorthair Mix	Black/Gray	Kiki	No	Dog	Spayed Female	4-6 years
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Euthanasia	Pit Bull Mix	Tan/White		No	Dog	Spayed Female	7-10 years
Adoption	Chihuahua Longhair Mix	Black	Kato	No	Dog	Neutered Male	1-3 years
Adoption	Jack Russell Terrier/Dachshund	White/Brown	Jasper	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Female	1-3 years
Return_to_owner	German Shepherd	Black/Brown	Roger	No	Dog	Neutered Male	4-6 years
Return_to_owner	Rottweiler Mix	Black/Tan	Roxi	No	Dog	Spayed Female	1-3 years
Adoption	Siberian Husky Mix	White/Cream	Hedwig	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	Under 1 year
Adoption	Cardigan Welsh Corgi/Cardigan Welsh Corgi	Fawn/White	Apollo	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White		No	Cat	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Blue		No	Cat	Unknown	Under 1 year
Transfer	Domestic Shorthair Mix	Calico		No	Cat	Spayed Female	4-6 years
Adoption	Chihuahua Shorthair Mix	Chocolate/White		No	Dog	Spayed Female	Under 1 year
Transfer	Cairn Terrier Mix	Cream		No	Dog	Intact Male	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby	Ruth	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Domestic Shorthair	Black/White	Pumpkin	No	Cat	Neutered Male	Under 1 year
Return_to_owner	Chihuahua Shorthair Mix	Chocolate/White	Coco	No	Dog	Intact Male	11+ years
Return_to_owner	Labrador Retriever Mix	Chocolate	Sam	No	Dog	Neutered Male	7-10 years
Adoption	Shih Tzu	Gray/White	Newton	No	Dog	Neutered Male	1-3 years
Transfer	Plott Hound Mix	Brown Brindle	Lizzie	No	Dog	Spayed Female	Under 1 year
Adoption	Australian Shepherd Mix	Tan/White	Orion	No	Dog	Neutered Male	Under 1 year
Adoption	Chihuahua Shorthair Mix	Tan/White	Chewy	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Longhair Mix	Black/White	Hailey	No	Cat	Intact Female	Under 1 year
Adoption	Labrador Retriever/Border Collie	Black/White	Jimmy	No	Dog	Neutered Male	1-3 years
Euthanasia	Siamese Mix	Blue Point		No	Cat	Intact Female	Under 1 year
